candidate_id,candidate_family,representation,grid_size,order,sigma,surface_density,surface_trim_cutoff,surface_probe_radius,proximity_length_scale,padding,distance,score_mode,fit_order,order_decay_n0,gap_band_soft_width,gap_contact_scale,af3_failure_rescue_rate,delta_rescue_vs_sc,pooled_af3_auroc,delta_af3_auroc_vs_sc,pooled_af3_average_precision,delta_af3_average_precision_vs_sc,pooled_all_auroc,delta_all_auroc_vs_sc,pooled_all_average_precision,delta_all_average_precision_vs_sc,pooled_af2_auroc,median_runtime_sec,runtime_ratio_vs_sc,runtime_ratio_vs_atom_baseline,sidechain_jitter_median_abs_delta,delta_sidechain_jitter_vs_sc,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject,production_eligible,diagnostic_only,diagnostic_pass,stage1_reject,af3_not_worse_than_current_atom_gap,improved_rescue_specialist,runtime_ok,robustness_pass,guardrail_pass,accepted_for_production,rank,recommended_candidate,normal_gap_contact_scale
atom_gaussian__g24__o4__s1__mgapsoft__f12,grid_gap,atom_gaussian,24,4,1.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,1.0,,0.2524271844660194,0.2524271844660194,0.6398184407262371,0.497063011747953,0.6378702051997976,0.30589009766255315,0.6398184407262371,0.497063011747953,0.6378702051997976,0.30589009766255315,nan,nan,nan,nan,nan,nan,0.0305863988033701,0.014846503322486182,0.01573989548088392,0.0,0.0,0.0005654745357188587,0.18160103261188054,0.18103555807616167,0,1,0,0,1,0,0,0,0,1,0,20,0,
atom_gaussian__g32__o4__s1.5__mgapsoft__w2__f12,grid_gap,atom_gaussian,32,4,1.5,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.2524271844660194,0.2524271844660194,0.6367034531861873,0.4939480242079032,0.6468357073384604,0.3148555998012159,0.6367034531861873,0.4939480242079032,0.6468357073384604,0.3148555998012159,nan,nan,nan,nan,nan,nan,0.025094006086202908,0.02061223177700096,0.00448177430920195,0.0,0.0,0.0032880466573920165,0.15864201725835025,0.15535397060095824,1,1,0,0,1,0,0,0,0,1,0,21,0,
atom_gaussian__g24__o4__s2__mgapexcess__f12,grid_gap,atom_gaussian,24,4,2.0,,,,,2.0,8.0,gap_zernike_excess_bandpass,12,,,,0.2524271844660194,0.2524271844660194,0.6146315414738341,0.47187611249555006,0.6277470493887188,0.29576694185147434,0.6146315414738341,0.47187611249555006,0.6277470493887188,0.29576694185147434,nan,nan,nan,nan,nan,nan,0.03774796322612479,0.032636326540949404,0.0051116366851753844,0.0,0.0,0.007469506821835849,0.18106005743644354,0.1735905506146077,1,1,0,0,1,0,0,0,0,1,0,22,0,
atom_gaussian__g24__o6__s2__mgapsoft__w2__f12,grid_gap,atom_gaussian,24,6,2.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.2524271844660194,0.2524271844660194,0.6019935920256319,0.45923816304734777,0.6217149945975559,0.28973488706031136,0.6019935920256319,0.45923816304734777,0.6217149945975559,0.28973488706031136,nan,nan,nan,nan,nan,nan,0.08218767774165331,0.07531679936714161,0.006870878374511696,0.0,0.0,0.024632402867553728,0.3394850551438378,0.31485265227628406,1,1,0,0,1,0,0,0,0,1,0,23,0,
atom_gaussian__g24__o6__s2__mgapsoft__f12,grid_gap,atom_gaussian,24,6,2.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,1.0,,0.2524271844660194,0.2524271844660194,0.5932716269134923,0.45051619793520825,0.6177951710980646,0.2858150635608201,0.5932716269134923,0.45051619793520825,0.6177951710980646,0.2858150635608201,nan,nan,nan,nan,nan,nan,0.07626554846677608,0.06879277835416524,0.007472770112610841,0.0,0.0,0.020061565791695882,0.3120971646167482,0.2920355988250523,1,1,0,0,1,0,0,0,0,1,0,24,0,
atom_gaussian__g24__o4__s2__mgapsoft__w2__f12,grid_gap,atom_gaussian,24,4,2.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.2524271844660194,0.2524271844660194,0.589622641509434,0.4468672125311499,0.6140929628813566,0.2821128553441121,0.589622641509434,0.4468672125311499,0.6140929628813566,0.2821128553441121,nan,nan,nan,nan,nan,nan,0.05452521527555673,0.0490183727225592,0.0055068425529975346,0.0,0.0,0.01225591377743739,0.1971861867778947,0.1849302730004573,1,1,0,0,1,0,0,0,0,1,0,25,0,
atom_gaussian__g32__o6__s2__mgapsoft__w2__f12,grid_gap,atom_gaussian,32,6,2.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.2524271844660194,0.2524271844660194,0.5878426486294055,0.4450872196511214,0.6127216400584855,0.280741532521241,0.5878426486294055,0.4450872196511214,0.6127216400584855,0.280741532521241,nan,nan,nan,nan,nan,nan,0.07342110347347322,0.06921672270401608,0.0042043807694571445,0.0,0.0,0.02412363004313851,0.2847211971378407,0.2605975670947022,1,1,0,0,1,0,0,0,0,1,0,26,0,
atom_gaussian__g32__o6__s2__mgapsoft__f12,grid_gap,atom_gaussian,32,6,2.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,1.0,,0.2524271844660194,0.2524271844660194,0.5720897116411534,0.4293342826628693,0.6043670861524754,0.27238697861523087,0.5720897116411534,0.4293342826628693,0.6043670861524754,0.27238697861523087,nan,nan,nan,nan,nan,nan,0.06843606374788144,0.06422583101108062,0.004210232736800823,0.0,0.0,0.019614614070127608,0.2577388750099229,0.23812426093979527,1,1,0,0,1,0,0,0,0,1,0,27,0,
atom_gaussian__g32__o2__s1__mgapsoft__f12,grid_gap,atom_gaussian,32,2,1.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,1.0,,0.24271844660194175,0.24271844660194175,0.6666963332146671,0.5239409042363831,0.6597949732758559,0.3278148657386114,0.6666963332146671,0.5239409042363831,0.6597949732758559,0.3278148657386114,nan,nan,nan,nan,nan,nan,0.005467435134443114,0.0020547698246303836,0.0034126653098127306,0.0,0.0,8.961588940041808e-05,0.05536131869115279,0.05527170280175237,1,1,0,0,1,1,1,0,0,1,0,28,0,
atom_gaussian__g32__o2__s1__mgapsoft__w2__f12,grid_gap,atom_gaussian,32,2,1.0,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.24271844660194175,0.24271844660194175,0.6655393378426486,0.5227839088643645,0.6598717334821544,0.32789162594490995,0.6655393378426486,0.5227839088643645,0.6598717334821544,0.32789162594490995,nan,nan,nan,nan,nan,nan,0.0063017635846023805,0.002471809055511501,0.0038299545290908796,0.0,0.0,0.00011660262316233894,0.06703034391030686,0.06691374128714453,1,1,0,0,1,1,1,0,0,1,0,29,0,
