candidate_id,scope,organism,backend,auroc,average_precision,n_pos,n_neg,sc_auroc,sc_average_precision,delta_auroc_vs_sc,delta_average_precision_vs_sc
atom_gaussian__g32__o10__s1.5__mgapband__f12,cell,yeast,af3,0.59375,0.624448248604562,16,16,0.0,0.3222337977924731,0.59375,0.302214450812089
atom_gaussian__g32__o10__s1.5__mgapband__f12,cell,ecoli,af3,1.0,1.0,6,3,0.0,0.5021825396825397,1.0,0.4978174603174603
atom_gaussian__g32__o10__s1.5__mgapband__f12,cell,arabidopsis,af3,0.5776223776223777,0.5279799732886958,52,55,0.5223776223776224,0.4842459862421244,0.05524475524475525,0.04373398704657144
atom_gaussian__g32__o10__s1.5__mgapband__f12,global,,,0.6735493058027768,0.6633094675485544,106,106,0.14275542897828408,0.3319801075372445,0.5307938768244927,0.33132936001130986
atom_gaussian__g32__o10__s1.5__mgapband__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o10__s1.5__mgapband__f12,af3,,af3,0.6735493058027768,0.6633094675485544,106,106,0.14275542897828408,0.3319801075372445,0.5307938768244927,0.33132936001130986
atom_gaussian__g24__o2__s1__mgapexcess__f12,cell,human,af3,0.78466796875,0.7790131703671566,32,32,0.0,0.31460429173075105,0.78466796875,0.4644088786364055
atom_gaussian__g24__o2__s1__mgapexcess__f12,cell,yeast,af3,0.51171875,0.585914127661085,16,16,0.0,0.3222337977924731,0.51171875,0.2636803298686119
atom_gaussian__g24__o2__s1__mgapexcess__f12,cell,ecoli,af3,0.5555555555555556,0.8134920634920634,6,3,0.0,0.5021825396825397,0.5555555555555556,0.3113095238095237
atom_gaussian__g24__o2__s1__mgapexcess__f12,cell,arabidopsis,af3,0.5807692307692308,0.5622166546941091,52,55,0.5223776223776224,0.4842459862421244,0.058391608391608396,0.07797066845198469
atom_gaussian__g24__o2__s1__mgapexcess__f12,global,,,0.6334104663581346,0.6416425584363511,106,106,0.14275542897828408,0.3319801075372445,0.4906550373798505,0.3096624508991066
atom_gaussian__g24__o2__s1__mgapexcess__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o2__s1__mgapexcess__f12,af3,,af3,0.6334104663581346,0.6416425584363511,106,106,0.14275542897828408,0.3319801075372445,0.4906550373798505,0.3096624508991066
atom_gaussian__g24__o2__s1__mgapsoft__f12,cell,human,af3,0.759765625,0.7620026622017864,32,32,0.0,0.31460429173075105,0.759765625,0.4473983704710353
atom_gaussian__g24__o2__s1__mgapsoft__f12,cell,yeast,af3,0.53125,0.5802529074955546,16,16,0.0,0.3222337977924731,0.53125,0.2580191097030815
atom_gaussian__g24__o2__s1__mgapsoft__f12,cell,ecoli,af3,0.7222222222222222,0.8555555555555555,6,3,0.0,0.5021825396825397,0.7222222222222222,0.35337301587301584
atom_gaussian__g24__o2__s1__mgapsoft__f12,cell,arabidopsis,af3,0.6132867132867132,0.5708651325546518,52,55,0.5223776223776224,0.4842459862421244,0.09090909090909083,0.08661914631252737
atom_gaussian__g24__o2__s1__mgapsoft__f12,global,,,0.6447134211463155,0.6384590910546513,106,106,0.14275542897828408,0.3319801075372445,0.5019579921680314,0.30647898351740677
atom_gaussian__g24__o2__s1__mgapsoft__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g24__o2__s1__mgapsoft__f12,af3,,af3,0.6447134211463155,0.6384590910546513,106,106,0.14275542897828408,0.3319801075372445,0.5019579921680314,0.30647898351740677
