candidate_id,diagnostic_slice,auroc,average_precision,n_pos,n_neg,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject
atom_gaussian__g24__o6__s1.5__mgapsoft__f12,af3_mixed_200,0.6323,0.6183297170105949,100,100,0.05108247441507903,0.033655896093937876,0.017426578321141153,0.0,0.0,0.00530944131913457,0.3120971646167482,0.3067877232976136,0
atom_gaussian__g24__o6__s1.5__mgapsoft__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.14191016725078193,0.020448485584507653,0.12146168166627427,0.0,0.0,0.014562063005063595,0.2947301543694712,0.2801680913644076,0
atom_gaussian__g24__o6__s1.5__mgapsoft__w2__f12,af3_mixed_200,0.6341,0.6175066024407658,100,100,0.05479209190654295,0.03567168932983436,0.019120402576708592,0.0,0.0,0.00655140218131098,0.3394850551438378,0.3329336529625268,0
atom_gaussian__g24__o6__s1.5__mgapsoft__w2__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.15031083883443594,0.021476885919102608,0.12883395291533334,0.0,0.0,0.015990790660553665,0.3173480696140448,0.3013572789534912,0
atom_gaussian__g24__o6__s1__mgapexcess__f12,af3_mixed_200,0.6138,0.6176517011203154,100,100,0.03772747796959257,0.013799608478321367,0.0239278694912712,0.0,0.0,0.0,0.3095215732149874,0.3095215732149874,0
atom_gaussian__g24__o6__s1__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8888888888888888,0.8972222222222221,6,6,0.13802796126119993,0.0,0.13802796126119993,0.0,0.0,0.0,0.29341969589211914,0.29341969589211914,0
atom_gaussian__g24__o6__s1__mgapsoft__f12,af3_mixed_200,0.621,0.6131746160524844,100,100,0.04865668731839501,0.02577872609806108,0.02287796122033393,0.0,0.0,0.0010133536378326448,0.3120971646167482,0.3110838109789155,0
atom_gaussian__g24__o6__s1__mgapsoft__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.14191016725078193,0.005951765265556878,0.13595840198522505,0.0,0.0,0.00166089495185625,0.2947301543694712,0.29306925941761497,0
atom_gaussian__g24__o6__s1__mgapsoft__w2__f12,af3_mixed_200,0.6213,0.612016797661616,100,100,0.05270370190227203,0.027855537699095705,0.024848164203176322,0.0,0.0,0.0011119404607470597,0.3394850551438378,0.3383731146830907,0
atom_gaussian__g24__o6__s1__mgapsoft__w2__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.15031083883443594,0.006557586408246413,0.14375325242618953,0.0,0.0,0.0017908607403564036,0.3173480696140448,0.31555720887368843,0
atom_gaussian__g24__o6__s2__mgapcontact__cs0.03__f12,af3_mixed_200,0.4532,0.5047420312360381,100,100,0.4473560230788913,0.4866291842411006,-0.0392731611622093,0.0,0.0,0.24563970929874404,0.7130858835482466,0.46744617424950263,1
atom_gaussian__g24__o6__s2__mgapcontact__cs0.03__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.3055555555555556,0.4421296296296296,6,6,0.45108651163572333,0.5083398293530509,-0.057253317717327556,0.0,0.0,0.3017385512811449,0.6276284910291516,0.32588993974800673,1
atom_gaussian__g24__o6__s2__mgapcontact__cs0.07__f12,af3_mixed_200,0.5332,0.5428015228345388,100,100,0.3830678795566551,0.3722447343475842,0.010823145209070906,0.0,0.0,0.16548702668718898,0.5867498421765199,0.421262815489331,0
atom_gaussian__g24__o6__s2__mgapcontact__cs0.07__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.6111111111111112,0.569047619047619,6,6,0.4152500476204875,0.3556975055488536,0.05955254207163391,0.0,0.0,0.2671688820374693,0.5276584505440316,0.2604895685065623,0
atom_gaussian__g24__o6__s2__mgapexcess__f12,af3_mixed_200,0.5961,0.6001786370936373,100,100,0.058664362305561324,0.04962775289127301,0.009036609414288313,0.0,0.0,0.0166100326174296,0.3095215732149874,0.2929115405975578,1
