candidate_id,method,organism,backend,label,n,q25,median,q75,mean
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,yeast,af2,negative,508,0.018083074602822644,0.02966374371273401,0.04798704203564078,0.035337537471840194
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,yeast,af2,positive,514,0.020898924634646574,0.02935314588779852,0.04817838591973634,0.038956326469977036
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,yeast,af3,negative,495,0.012718296894918676,0.01728865729962901,0.02405905511165602,0.020981567245182804
atom_gaussian__g32__o4__s1.5__mgapband__f12,Atom Gap band n=2-4,yeast,af3,positive,514,0.016675615373056327,0.02416673541056044,0.034600049498162366,0.030249512021768156
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,arabidopsis,af2,negative,178,0.035956779281267205,0.05264792179563105,0.08395654454926191,0.06299421800468152
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,arabidopsis,af2,positive,180,0.03468867878718914,0.04483627102892684,0.07606605219771082,0.059365708560673996
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,arabidopsis,af3,negative,180,0.02124625143735439,0.028056190278787946,0.036256958490361826,0.03232289382501297
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,arabidopsis,af3,positive,182,0.02724402907929053,0.03377196038747669,0.045121814202986325,0.04218836904787976
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,ecoli,af2,negative,89,0.028658798577365065,0.03972905918852458,0.08473967433583532,0.056602782730775326
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,ecoli,af2,positive,97,0.026730672664916258,0.035565373171870814,0.042621799869890065,0.040989809737835656
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,ecoli,af3,negative,93,0.017881767765771724,0.022960761169930313,0.029936122578506395,0.02598093879992818
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,ecoli,af3,positive,96,0.024559310625665395,0.03091336976151854,0.03849292444664673,0.03298036931558924
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,human,af2,negative,1127,0.036910096339179806,0.058924293259800316,0.09108732436865845,0.06911099993897418
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,human,af2,positive,1140,0.033587393687417436,0.05160516626784421,0.09363303183620861,0.06963387869817443
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,human,af3,negative,852,0.021122540348688483,0.028220899579911723,0.04119782502458643,0.03915417760402701
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,human,af3,positive,1100,0.02730141621553685,0.03598863549363018,0.061536401092711177,0.05373728100141916
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,yeast,af2,negative,508,0.03162162931542987,0.04871386543620861,0.07728880860211965,0.057833054590198954
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,yeast,af2,positive,514,0.03189844851810703,0.043645577139351716,0.08094000483281276,0.062138277952727645
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,yeast,af3,negative,495,0.02046534837560512,0.027035474971070318,0.03550382476020217,0.03319662361540853
atom_gaussian__g32__o6__s1.5__mgapband__f12,Atom Gap band n=2-6,yeast,af3,positive,514,0.0266534802208524,0.035006785763662354,0.05557358671223288,0.04732937585971382
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,arabidopsis,af2,negative,178,0.0512375755476155,0.07835640622682419,0.11734743083907931,0.09082947587607416
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,arabidopsis,af2,positive,180,0.04461876369809654,0.06119075565643165,0.11319420386045603,0.08334445093718246
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,arabidopsis,af3,negative,180,0.029904867657431777,0.03683931617802835,0.0484986893055601,0.04438711844340537
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,arabidopsis,af3,positive,182,0.036584633970510975,0.043959661823698974,0.05924360935527425,0.05740719520535893
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,ecoli,af2,negative,89,0.038444234130889036,0.056665443546890286,0.10510969890741526,0.07646838898448968
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,ecoli,af2,positive,97,0.03707907848514902,0.04442766899352541,0.05429867598104667,0.05478403125554635
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,ecoli,af3,negative,93,0.026238354692512632,0.031432217115036416,0.04160727082829976,0.03555096664245933
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,ecoli,af3,positive,96,0.03437824580940188,0.041693460645593566,0.04795472315754048,0.04355429628293112
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,human,af2,negative,1127,0.05357616876985212,0.0847887660741181,0.13297293759585288,0.09925482654375152
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,human,af2,positive,1140,0.04457157046867727,0.07326081022077335,0.1366853980626356,0.0991282821662074
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,human,af3,negative,852,0.030280705206957696,0.038188200465092095,0.058357127722501526,0.055233822733702066
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,human,af3,positive,1100,0.03711895664645802,0.04681881135586619,0.0885892884793317,0.07505112008571119
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,yeast,af2,negative,508,0.045458355157295585,0.06912379810224302,0.11362958999289124,0.08322482376419958
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,yeast,af2,positive,514,0.042696858763558956,0.060898892951148025,0.11884362605802236,0.08743529862646864
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,yeast,af3,negative,495,0.028304059246770964,0.0360821964897082,0.04873507765791074,0.04627572242477953
atom_gaussian__g32__o8__s1.5__mgapband__f12,Atom Gap band n=2-8,yeast,af3,positive,514,0.03556391972466799,0.0454869022942818,0.07274532860718941,0.06525110457922516
interface_sc,SC baseline,arabidopsis,af2,negative,178,0.028981866678241097,0.04530646852853426,0.058515262749617956,0.04230214736819716
interface_sc,SC baseline,arabidopsis,af2,positive,180,0.053146978259526245,0.07667010023839783,0.0876130518096768,0.06968730074334975
interface_sc,SC baseline,arabidopsis,af3,negative,180,0.07904424543578184,0.0861188496709872,0.09095879544408617,0.084666241792309
interface_sc,SC baseline,arabidopsis,af3,positive,182,0.08369101220860184,0.08892454679599446,0.09412612072398227,0.08844658357585607
interface_sc,SC baseline,ecoli,af2,negative,89,0.03335364459542722,0.05114740366954995,0.0688875128887712,0.04796319916607701
interface_sc,SC baseline,ecoli,af2,positive,97,0.06881321344017285,0.0843536325724115,0.0900400590845355,0.07725569630458151
interface_sc,SC baseline,ecoli,af3,negative,93,0.07632293426338801,0.08259672602005459,0.08920893794408997,0.08218337129220248
interface_sc,SC baseline,ecoli,af3,positive,96,0.08148827378849108,0.08734378312367269,0.09092123513679362,0.08596111461637838
interface_sc,SC baseline,human,af2,negative,1127,0.026879530491600898,0.043902987642403954,0.06040758753062539,0.04264532081460623
interface_sc,SC baseline,human,af2,positive,1140,0.04741178514379121,0.07095053610607469,0.08524472941640016,0.06467381221292463
interface_sc,SC baseline,human,af3,negative,852,0.07799981708454262,0.0840744671338019,0.08933587699635752,0.08320985484440106
interface_sc,SC baseline,human,af3,positive,1100,0.08218280059995621,0.08781392375680987,0.09263933340156938,0.08707834052690969
interface_sc,SC baseline,yeast,af2,negative,508,0.03180748728467323,0.049052088976439395,0.0632281457745761,0.045842424143155903
interface_sc,SC baseline,yeast,af2,positive,514,0.05731143930983283,0.0797648718178898,0.08895860523693994,0.07167926704121759
interface_sc,SC baseline,yeast,af3,negative,495,0.07747273170699848,0.0835340103437347,0.08909506003132228,0.0829689121981161
interface_sc,SC baseline,yeast,af3,positive,514,0.08298005368318806,0.08842406354558291,0.0931328749073185,0.08749247801741115
